id,circle,square,triangle
1,1,2,3
2,1,3,1
3,1,2,3
4,2,2,3
5,1,2,1
6,1,2,4
7,4,1,5
8,3,5,1
9,4,4,2
10,3,5,2
11,5,5,5
12,2,3,3
13,2,2,4
14,2,2,2
15,1,3,5
16,4,5,4
17,2,5,3
18,5,3,5
19,4,4,5
20,5,3,4
21,4,1,2
22,5,5,3
23,5,5,5
24,1,1,2
25,2,4,4
26,2,5,3
27,3,5,5
28,2,5,3
29,1,3,1
30,4,2,5
31,4,1,3
32,3,1,1
33,1,1,3
34,2,4,2
35,5,4,2
36,2,1,4
37,5,4,2
38,2,4,2
39,4,4,4
40,1,5,2
41,4,1,2
42,4,5,3
43,5,3,2
44,5,1,5
45,4,2,3
46,5,2,1
47,5,2,2
48,1,5,3
49,3,3,1
50,5,1,2
51,5,5,3
52,3,2,1
53,2,2,4
54,3,4,3
55,4,4,2
56,3,3,2
57,3,3,5
58,3,5,1
59,5,5,3
60,3,3,2
61,2,5,3
62,5,3,1
63,5,1,5
64,1,5,3
65,5,1,5
66,1,2,4
67,3,5,1
68,3,4,4
69,1,2,5
70,1,1,3
71,2,5,1
72,1,5,3
73,2,4,2
74,1,5,4
75,4,3,4
76,1,2,4
77,3,5,1
78,1,2,3
79,5,2,5
80,5,5,4
81,3,1,3
82,3,3,5
83,2,1,5
84,2,5,3
85,5,2,4
86,2,4,2
87,4,4,1
88,5,1,5
89,1,3,3
90,1,2,3
91,2,1,3
92,2,5,5
93,4,2,5
94,3,2,5
95,1,2,1
96,3,4,3
97,2,4,4
98,4,3,1
99,1,4,2
100,2,4,2
101,4,4,5
102,4,4,4
103,4,3,5
104,3,3,1
105,3,5,1
106,2,4,1
107,4,3,4
108,1,3,2
109,2,2,4
110,1,5,1
111,1,1,2
112,3,5,1
113,5,3,4
114,1,3,2
115,4,3,1
116,5,2,4
117,4,4,2
118,4,4,5
119,3,3,1
120,1,4,2
121,4,4,1
122,1,2,5
123,4,4,4
124,3,4,1
125,5,4,2
126,2,4,5
127,2,5,3
128,5,3,5
129,3,3,1
130,5,3,5
131,4,5,5
132,3,5,1
133,2,2,4
134,1,3,2
135,2,1,3
136,3,5,3
137,4,3,3
138,1,2,2
139,4,5,2
140,4,1,1
141,4,2,4
142,2,4,2
143,5,1,3
144,4,4,2
145,4,4,1
146,3,2,4
147,1,4,1
148,4,1,1
149,2,5,5
150,2,3,3
151,1,3,2
152,2,4,4
153,3,2,3
154,3,3,2
155,4,3,1
156,5,3,5
157,3,2,1
158,4,4,5
159,2,3,4
160,5,4,2
161,4,2,5
162,4,5,5
163,1,1,3
164,1,1,3
165,1,5,3
166,5,2,2
167,2,5,1
168,2,4,3
169,1,3,4
170,4,2,1
171,2,1,5
172,3,4,2
173,3,2,5
174,4,5,4
175,5,3,3
176,3,3,2
177,2,2,1
178,3,5,4
179,4,1,3
180,2,2,5
181,3,3,3
182,4,3,2
183,3,4,1
184,1,2,2
185,1,5,2
186,4,3,1
187,1,3,1
188,3,4,3
